dato;id;navn;mærke;kategori;pris;førpris;besparelse_kr;besparelse_pct;på_lager;url
2026-05-06;3622533;HONOR 200 Smart 256 GB, Midnight Black;Honor;Mobiltelefoner;1304.0 kr;;;;1;
2026-05-06;2955764;Xiaomi Redmi Note 13 5G 128 GB, Ocean teal;Xiaomi;Mobiltelefoner;1494.0 kr;;;;1;
2026-05-06;1881726;Acer Aspire Xc-840 stationær PC;Acer;Stationær PC;2309.0 kr;;;;1;
2026-05-06;1584214;"Acer Spin 3 SP313-51N-525X 13,3"" bærbar PC";Acer;Bærbar PC;4424.0 kr;;;;1;
2026-05-13;1881726;Acer Aspire Xc-840 stationær PC;Acer;Stationær PC;2309.0 kr;;;;1;
2026-05-13;3622533;HONOR 200 Smart 256 GB, Midnight Black;Honor;Mobiltelefoner;1304.0 kr;;;;1;
2026-05-13;2955764;Xiaomi Redmi Note 13 5G 128 GB, Ocean teal;Xiaomi;Mobiltelefoner;1494.0 kr;;;;1;
2026-05-13;1584214;"Acer Spin 3 SP313-51N-525X 13,3"" bærbar PC";Acer;Bærbar PC;4424.0 kr;;;;1;
2026-05-18;2955764;Xiaomi Redmi Note 13 5G 128 GB, Ocean teal;Xiaomi;Mobiltelefoner;1494.0 kr;;;;1;
2026-05-18;1881726;Acer Aspire Xc-840 stationær PC;Acer;Stationær PC;2309.0 kr;;;;1;
2026-05-18;1584214;"Acer Spin 3 SP313-51N-525X 13,3"" bærbar PC";Acer;Bærbar PC;4424.0 kr;;;;1;
